"ID","아파트명","지번주소","세대수","임대수","동수","용적률","건폐율","주차대수"
"130473","16에스티뷰","서울 광진구 자양동 680-14",7,0,1,355,56,5
"111186","67디벨리움(도시형)","서울 노원구 공릉동 670-7",106,0,1,629,56,66
"120013","가락(헤븐스테이)","서울 송파구 가락동 177-10",12,0,1,199,46,12
"128942","가락그랑밸리","서울 송파구 가락동 141-7",12,0,1,292,59,12
"594","가락금호","서울 송파구 가락동 95-1",915,0,8,397,22,735
"595","가락대림","서울 송파구 가락동 70-19",443,0,4,0,0,443
"2997","가락동부센트레빌","서울 송파구 가락동 95",264,0,5,299,19,536
"615","가락삼익맨숀","서울 송파구 송파동 166",936,0,14,179,0,1964
"629","가락상아","서울 송파구 오금동 166",226,0,3,178,0,226
"25251","가락스타클래스","서울 송파구 가락동 8",72,0,1,431,48,124
"598","가락쌍용1차","서울 송파구 가락동 140",2064,0,14,343,23,2022
"1196","가락쌍용2차","서울 송파구 가락동 21-6",492,0,5,355,24,519
"13643","가락쌍용스윗닷홈3차(101~104동)","서울 송파구 가락동 53",206,0,4,0,0,99
"100636","가락쌍용스윗닷홈3차(105동)","서울 송파구 가락동 51-1",52,0,1,240,31,97
"348","가락우성1차","서울 송파구 가락동 96-1",838,0,7,210,0,430
"3542","가락우성2차","서울 송파구 가락동 120-4",162,0,2,397,32,165
"12949","가락우정에쉐르","서울 송파구 가락동 8-1",18,0,1,387,59,67
"631","가락우창","서울 송파구 오금동 164",264,0,4,180,0,264
"599","가락풍림","서울 송파구 가락동 142",105,0,1,260,35,105
"341","가락한신","서울 송파구 가락동 102",256,0,2,267,0,194
"26681","가락한일유앤아이","서울 송파구 가락동 142-1",14,0,1,240,46,18
"100837","가락현대(60동)","서울 송파구 가락동 161-1",90,0,1,0,0,0
"603","가락현대6차","서울 송파구 가락동 55",160,0,2,0,0,160
"604","가락현대7차","서울 송파구 가락동 171-5",72,0,1,0,0,120
"1197","가락현대빌라트","서울 송파구 가락동 1-10",19,0,1,381,35,29
"22331","가락현대TWELVE","서울 송파구 가락동 198-9",38,0,2,0,0,49
"860","가람","서울 강남구 일원동 735",496,0,13,109,27,496
"134862","가람JS(도시형)","서울 동대문구 용두동 118-47",16,0,1,199,48,7
"105960","가산양우내안애애플(도시형)","서울 금천구 가산동 141-2",200,0,1,648,53,48
"107752","가산지웰에스테이트(도시형)","서울 금천구 가산동 140-9",99,0,1,649,59,39
"121177","가산지웰에스테이트2차(도시형)","서울 금천구 가산동 143-6",238,0,1,386,59,119
"118850","가산피어니빌(도시형)","서울 금천구 가산동 143-20",66,0,1,367,58,44
"14538","가야써니빌","서울 중랑구 망우동 576",66,0,1,426,55,71
"20018","가야써니빌","서울 동대문구 장안동 373-7",36,0,1,582,58,62
"27125","가야위드안","서울 관악구 신림동 1426-6",114,0,1,0,0,0
"1305","가양2단지성지","서울 강서구 가양동 1461",1624,0,10,195,33,486
"1347","가양6단지","서울 강서구 가양동 1485",1476,0,15,192,0,677
"1348","가양9단지","서울 강서구 가양동 1490",1005,0,6,196,16,297
"3325","가양강나루2차현대","서울 강서구 가양동 448",114,0,2,348,29,132
"1350","가양우성","서울 강서구 가양동 14-3",414,0,4,263,30,380
"1014","가양중앙하이츠","서울 강서구 가양동 1467",164,0,3,254,22,324
"114445","가온빌(도시형)","서울 영등포구 당산동 121-289",27,0,1,675,59,11
"113841","가우디캐슬","서울 동대문구 장안동 415-14",28,0,1,452,59,13
"126441","가우디캐슬","서울 동대문구 용두동 104-34",64,0,1,553,59,36
"116029","가우디트윈캐슬","서울 동대문구 장안동 374-8",42,0,2,0,0,0
"121749","가원(도시형)","서울 강동구 천호동 18-6",14,0,1,193,59,7
"123497","가윤(도시형)","서울 관악구 신림동 1461-7",28,0,1,315,58,8
"11226","각산","서울 송파구 송파동 173-1",12,0,1,344,34,15
"9778","각산","서울 금천구 독산동 1093-5",47,0,1,299,29,54
"9317","갈현건영","서울 은평구 갈현동 541-1",140,0,1,364,31,131
"19620","갈현두일","서울 은평구 구산동 308-3",17,0,1,238,44,20
"12975","갈현삼성","서울 은평구 갈현동 544",32,0,1,300,41,33
"1231","갈현현대","서울 은평구 구산동 382",366,0,4,306,23,373
"3817","갈현현대","서울 은평구 갈현동 537",278,0,2,261,25,286
"9184","갈현e-편한세상1단지","서울 은평구 구산동 547",327,0,3,300,22,399
"1043","갑을","서울 관악구 봉천동 1700",95,0,1,280,27,94
"1256","갑을","서울 송파구 풍납동 214-6",85,0,1,322,29,85
"1280","갑을","서울 종로구 평창동 595",99,0,1,215,38,58
"12925","갑지하이린","서울 강동구 성내동 443-21",18,0,1,299,44,32
"103398","강국","서울 양천구 신월동 24-5",19,0,1,249,43,19
"1012","강나루현대","서울 강서구 가양동 448-1",642,0,9,377,28,652
"10172","강남","서울 동작구 상도동 488",70,0,1,0,0,0
"21870","강남","서울 관악구 신림동 1644",876,0,17,40,25,600
"19496","강남(529-3)","서울 관악구 신림동 529-3",12,0,1,274,59,8
"107086","강남(도시형)","서울 영등포구 당산동1가 458",58,0,2,247,59,18
"118789","강남그린","서울 구로구 궁동 178-13",10,0,1,199,51,10
"108822","강남더샵포레스트","서울 강남구 수서동 537",400,0,10,199,24,840
